GPA,Exam_Score,Admitted
2.749080237694725,83.63514971044489,1
3.9014286128198323,89.83406985956861,1
3.46398788362281,62.52339493962495,1
3.197316968394073,81.24370498034995,1
2.312037280884873,78.58729915718743,0
2.3119890406724055,91.64151883941355,0
2.116167224336399,95.30435302406303,0
3.73235229154987,50.60783857386934,1
3.2022300234864174,83.70099595293964,1
3.416145155592091,52.59178995598645,0
2.041168988591605,77.44293325386779,0
3.9398197043239884,64.38163645218391,1
3.6648852816008435,65.33882997610706,1
2.4246782213565523,67.64792517261783,0
2.3636499344142012,81.0646224524805,0
2.3668090197068676,66.70249828343846,0
2.6084844859190754,86.63495252951401,1
3.049512863264476,70.22636927869348,1
2.8638900372842313,53.41766001549793,0
2.582458280396084,89.18799212420537,1
3.223705789444759,64.2879162296353,1
2.278987721304084,71.63834397996314,0
2.5842892970704363,84.27219416109509,0
2.7327236865873834,66.6228078574356,0
2.912139968434072,52.82928280733578,0
3.570351922786027,68.69605235064068,1
2.3993475643167193,97.22242913471517,1
3.0284688768272234,82.08671986492791,1
3.184829137724085,83.57395743336035,1
2.0929008254399957,81.61410768188199,0
3.2150897038028767,59.94960694797184,0
2.341048247374583,70.916693205114,0
2.130103185970559,87.5469899181659,0
3.8977710745066663,55.06864487765796,1
3.9312640661491187,63.892638804485614,1
3.6167946962329225,63.81595542329268,1
2.609227538346741,71.6009463797253,0
2.1953442280127677,99.01843704710924,1
3.3684660530243136,53.3751273341911,0
2.8803049874792026,75.93504971902975,1
2.2440764696895577,58.96823410061052,0
2.9903538202225404,98.53382727048721,1
2.068777042230437,55.66517523637321,0
3.818640804157564,70.18005011807956,1
2.517559963200034,86.89424924173031,1
3.325044568707964,85.22772140137226,1
2.623422152178822,71.13643184469662,0
3.0401360423556216,67.32620839763591,0
3.0934205586865593,69.88061892764352,1
2.3697089110510543,63.213813157931966,0
3.939169255529117,60.26664693533999,1
3.550265646722229,74.1519848779445,1
3.8789978831283785,63.42668780338037,1
3.789654700855298,64.3730832448625,1
3.19579995762217,82.83780317372785,1
3.8437484700462337,98.42686658499461,1
2.176985004103839,80.18186002796875,0
2.3919657248382906,53.84897335324831,0
2.090454577821076,53.77918069270335,0
2.650660661526529,97.5711610422783,1
2.7773545793789642,64.86453951536669,0
2.5426980635477916,54.60334930412377,0
3.6574750183038587,79.95222935751907,1
2.713506653387179,81.18243891451331,1
2.5618690193747615,82.42524100593441,0
3.085392166316497,63.37010139287706,0
2.2818484499495253,50.75553421072375,0
3.6043939615080793,98.25076847272359,1
2.1491012873595414,62.54465228455513,0
3.9737738732010346,83.80131440262738,1
3.544489538593315,85.33149349393548,1
2.397431363068345,80.50037085397429,0
2.011044234247205,65.64536971068242,0
3.6309228569096685,63.554812688203285,1
3.4137146876952342,79.88341413513515,1
3.4580143360819746,93.30478168058457,1
3.5425406933718913,97.33668644616978,1
2.148089303468181,55.29529022018788,0
2.7169314570885454,57.74143062988599,0
2.2317381190502594,97.23681293915399,1
3.7262068517511873,86.82676141673963,1
3.246596253655116,94.14969124148865,1
2.6617960497052984,60.13163170676716,0
2.1271167005720475,79.3792935554701,0
2.6219646434313244,85.05697972087368,1
2.650366644053494,84.00559427234863,1
3.459212356676128,70.4075845433349,1
3.2751149427104265,50.76974458456542,0
3.774425485152653,79.14630284021315,1
2.944429850323899,62.65507695898044,0
2.2391884918766034,72.51271230714451,0
3.42648957444599,97.87905075419087,1
3.521570097233795,69.95176588212173,1
3.1225543951389927,91.99008033322133,1
3.541934359909122,59.42703028746256,1
2.9875911927287815,83.62302490125144,1
3.0454656587639883,98.85034772194717,1
2.855082036717099,55.09465504364684,0
2.05083825348819,50.4159971113596,0
2.215782853986609,71.67913963163072,0
2.0628583713734683,54.63127415256836,0
3.272820822527561,87.41921748381156,1
2.6287119621526536,95.72743319242795,1
3.0171413823294055,71.70104863543794,1
3.8151329478521863,62.93558210777205,1
2.49858445829775,71.72016595033048,0
2.8207658460712595,86.17239089250005,1
3.5111022770860973,50.45270807901855,0
2.457596330983245,79.47269947423486,0
2.1539598196575858,80.66458424436895,0
2.5795029058275363,81.88441234479677,0
2.322442574508009,62.10110399904386,0
3.859395304685146,85.70263616890634,1
3.616240759128834,54.56957431658882,1
3.266807513020847,59.96351682334004,0
3.7429211803754354,93.87350233272409,1
3.6073441537982287,86.93615753632832,1
2.3731401177720715,50.687277700567265,0
3.7851179969799555,62.41881301849001,1
3.078684483831301,60.720324149658225,0
3.6148803103281253,63.54031640184863,1
3.7921825998469867,62.377988513994325,1
2.6360069499437278,53.126314787142285,0
2.2201038490553535,72.94702582984101,0
2.4558703250838834,86.63667373930826,0
2.8542155772525124,80.33658623587182,1
3.6360295318449865,83.643583429904,1
3.721461166512687,54.05745892681196,1
2.0139042610623816,97.57453550883936,0
3.0214946051551315,91.92459169215124,1
2.834822006297558,90.25451592478314,1
2.4442156209414607,91.14919025208837,1
2.239730734667366,96.63552540663807,1
2.675230342807256,77.21269830568488,0
3.8858194078250383,60.0141008933813,1
2.6464058640415105,80.83918039262706,0
3.0375812434867324,87.14407468339695,1
3.4060379177903557,86.89586966770128,1
2.727259204758588,76.072451208344,0
3.9435641654419213,53.42293596667891,1
3.9248945898842225,68.5556469215064,1
