Income,Credit_Score,Loan_Amount,Eligible
57454.01188473625,669.9866468148939,34171.56293350199,0
115071.43064099162,738.1747684552547,12757.38629473248,1
93199.39418114051,437.75734433587445,44257.75535096667,0
79865.84841970366,643.6807547838494,32590.230758115868,0
35601.86404424365,614.4602907290619,12074.174760062942,0
35599.45203362026,758.0567072335491,48305.21258665431,0
25808.361216819947,798.3478832646933,28326.44585008943,0
106617.61457749351,306.68622431256273,8280.430334224475,1
80111.50117432087,670.710955482336,33207.480698678024,0
90807.25777960455,328.50968951585094,16393.95081557646,0
22058.449429580243,601.8722657925457,41166.20533447861,0
116990.98521619943,458.198000974023,41801.99331047858,0
103244.26408004218,468.7271297371776,49052.63101345978,0
41233.91106782762,494.1271768987961,27584.128896102666,0
38182.49672071006,641.7108469772855,25473.059587748172,0
38340.450985343385,483.72748111782306,38906.40224509163,0
50424.22429595377,702.9844778246543,10961.179535386695,0
72475.64316322378,522.4900620656283,29611.198120690588,0
63194.501864211576,337.59426017047724,29581.142005888294,0
49122.914019804186,731.0679133662591,9026.290526467425,0
81185.28947223796,457.1670785259883,23809.28384781111,0
33949.386065204184,538.0217837795944,43397.815935524086,0
49214.464853521815,676.9941357720459,43526.912989759716,0
56636.18432936917,482.85088643179165,9465.694921385646,0
65606.9984217036,331.1221108806936,9082.43972365239,0
98517.59613930136,505.65657585704747,16821.29646508709,0
39967.378215835975,819.4467204818669,44364.47281492971,0
71423.44384136115,652.9539185142071,10800.616328307453,0
79241.45688620425,669.3135317669638,37399.85611823508,0
24645.041271999773,647.755184500702,9552.452882589645,0
80754.48519014384,409.4456764276902,33041.20341865214,0
37052.41236872916,530.0836252562541,21023.028460361515,0
26505.15929852795,713.016889099825,40501.12833346402,0
114888.55372533333,355.75509365423756,15516.070197141362,1
116563.20330745593,452.81902684934175,33764.082322548194,0
100839.7348116461,451.9755096562195,15605.714055914823,0
50461.37691733707,537.6104101769783,37114.71274004692,0
29767.211400638385,839.2028075182018,44315.511555233694,0
88423.3026512157,337.1264006761021,10706.080960704203,0
64015.24937396013,585.2855469093272,43996.805986797655,0
32203.82348447788,398.65057510671573,31710.886448643407,0
69517.69101112703,833.8720999753592,10719.972089016079,0
23438.85211152184,362.3169276001053,24239.38349118704,0
110932.0402078782,521.9805512988752,12238.713206829405,1
45877.99816000169,705.8367416590334,36515.654998995626,0
86252.2284353982,687.5049354150949,39149.066048807734,0
51171.10760894109,532.5007502916627,9760.843412275954,0
72006.80211778107,490.58829237399505,27776.293371258995,0
74671.02793432795,518.6868082040788,41658.12752116627,0
38485.4455525527,445.35194473725164,47127.33686979484,0
116958.46277645585,412.9331162887399,28108.30400337965,1
97513.28233611146,565.6718336573895,47762.56506251332,0
113949.89415641892,447.693565837184,29106.003670521342,0
109482.73504276488,458.1039156934876,22738.57225699586,0
79789.99788110852,661.2158349110064,43169.1407848803,0
112187.42350231168,832.6955324349407,27184.221970614006,0
28849.25020519195,632.0004603076563,26235.612975403536,0
39598.286241914524,342.3387068857314,27064.062023442275,0
24522.728891053805,341.57098761973685,43105.325084138545,0
52533.033076326436,823.2827714650613,42437.36937596234,0
58867.7289689482,463.5099346690335,23158.399659809504,0
47134.90317738959,350.6368423453615,19998.493694173623,0
102873.75091519294,629.4745229327099,27136.76108176082,0
55675.332669358926,643.0068280596463,30774.762938169904,0
48093.45096873808,656.6776510652785,15725.174478259863,0
74269.60831582485,447.0711153216477,40727.978812201574,0
34092.42249747626,308.3108763179613,26891.72445795903,0
100219.69807540397,830.7584531999595,20032.049678898184,0
27455.06436797708,437.9911751301064,9806.944683379577,0
118688.69366005174,671.8144584289012,15748.032218162312,1
97224.47692966575,688.6464284332903,47717.65272901927,0
39871.56815341724,635.5040793937171,18729.485906878697,0
20552.21171236024,472.0990668175065,12598.668021516589,0
101546.14284548341,449.1029395702362,25730.275624474692,0
90685.73438476172,628.7175554864867,18818.94845121119,0
92900.71680409873,776.3525984864303,6582.166262203737,0
97127.03466859457,820.7035509078676,19541.534777573776,0
27404.465173409037,358.2481924220667,29484.888077276086,0
55846.572854427264,385.1557369287459,29827.05674089851,0
31586.90595251297,819.6049423306938,21045.15145295999,0
106310.34258755935,705.0943755841358,25128.624031367028,0
82329.81268275579,785.6466036563752,48448.30632056449,0
53089.80248526492,411.4479487744387,21980.68147536402,0
26355.835028602363,623.172229110171,16620.206596699234,0
51098.232171566226,685.6267769296105,15956.016983004205,0
52518.332202674705,674.061536995835,25599.407571686035,0
92960.6178338064,524.483429976684,39178.406692262484,0
83755.74713552132,308.46719043021966,14269.468288481294,0
108721.27425763266,620.6093312423448,36918.325721334564,0
67221.49251619494,439.20584654878485,5951.742050723733,0
31959.42459383017,547.6398353785896,23851.98400927757,0
91324.47872229951,826.6695582960996,39913.92793412541,0
96078.50486168974,519.4694247033391,20242.983009849413,0
76127.71975694962,761.8908836654347,30368.169565042976,0
97096.7179954561,403.6973331620881,14224.065477165987,0
69379.55963643908,669.8532739137659,38389.792600677756,0
72273.28293819941,837.3538249414189,7352.559647094183,0
62754.10183585496,356.04120548011525,43364.419019397516,0
22541.91267440952,304.5759682249556,13918.837388975067,0
30789.142699330445,538.4705359479378,44347.91142687488,0
23142.918568673424,350.94401567825196,20863.81585852328,0
83641.04112637804,711.6113923219273,37520.76085135189,0
51435.59810763267,803.0017651167075,19365.13840037848,0
70857.06911647029,538.7115349898173,45766.02520555914,0
110756.6473926093,442.2914031854925,10698.670648326846,1
44929.22291488749,538.9218254536354,13033.390517266942,0
61038.29230356297,697.8962998175006,27186.355632146104,0
95555.11385430487,304.979788869204,8687.229756716575,0
42879.81654916225,624.1996942165835,13819.108311579286,0
27697.9909828793,637.3104266880584,47469.48719954064,0
48975.1452913768,650.7285357927645,48942.03475165492,0
36122.12872540044,433.11214398948243,21931.66981986899,0
112969.76523425731,692.7289978579697,46547.8709456271,0
100812.0379564417,350.26531748247703,29517.11040530443,0
83340.37565104236,409.59868505674046,17138.41096431952,0
107146.05901877178,782.608525659965,36607.94244862694,0
100367.20768991145,706.2977328996114,34650.58129586857,0
38657.005888603584,307.5600547062399,49510.639359893,0
109255.89984899778,436.6069432033901,16927.12793341775,1
73934.22419156507,417.9235656462405,35242.67761977809,0
100744.01551640626,448.94348042033494,7341.06897632511,0
109609.12999234932,436.1578736539375,10114.071741352374,1
51800.34749718639,334.38946265856515,5176.326872799197,0
31005.192452767675,552.4172841282511,49975.73064768529,0
42793.51625419417,703.0034111323907,41102.3163716365,0
62710.77886262563,633.70244859459,40402.53566300934,0
101801.47659224931,670.0794177289439,27937.673387968087,0
106073.05832563434,344.63204819493154,18503.0187307448,0
20695.21305311907,823.319890597233,11806.892800820417,0
71074.73025775657,761.1705086136637,17810.363248090864,0
61741.1003148779,742.7996751726146,21918.70498681126,0
42210.781047073026,752.6410927729721,39033.95436411323,0
31986.53673336828,812.9907794730187,29284.78050064186,0
53761.5171403628,599.3396813625337,8486.763194996722,0
114290.97039125192,410.1551098271942,5811.305403151051,1
52320.293202075525,639.2309843188976,9604.948079032842,0
71879.0621743366,708.5848215173664,23472.44211638207,0
90301.89588951778,705.8545663447139,46993.68126720582,0
56362.9602379294,586.7969632917841,33683.11165441497,0
117178.20827209606,337.65229563346793,41082.16549439818,0
116244.72949421112,504.1121161365703,25986.856752704683,1
45178.22958253641,806.4216346548465,21274.973743776925,0
69724.85058923854,621.4469003665843,9878.016772248022,0
50087.83098167696,596.0825687906424,44416.98599837922,0
48484.04943774676,447.86943291020646,40242.20130625563,0
23688.69473545328,502.64690595411844,12565.314391897631,0
80956.43339798969,792.4403490342431,28051.725374431724,0
70267.90232288615,666.5546761397596,26931.86635645602,0
25147.875124998936,733.062864713783,33129.11987089379,0
47864.64642366114,549.8899826872104,47578.41022960676,0
110826.58859666537,646.6359707008869,31089.714879311585,0
43956.18906669725,436.6109848087641,29309.777005037835,0
34489.48720912231,688.0034566559175,7264.531982059878,0
68945.2760277563,535.1807335368355,7830.836420811077,0
118565.04541106007,543.4000331481101,13430.6056097055,1
44205.52715115004,657.1272785172849,6461.184726128673,0
87213.55474058786,814.9543418079097,38450.880300650555,0
96161.96153287176,335.2034906347415,37549.86367972834,0
43763.754399239966,753.6087805408542,11122.530549423933,0
92821.63486118596,460.81071072670625,42623.55053578764,0
56778.31327192532,544.1556999785078,11965.37156807504,0
83230.58305935794,312.05233082625494,18552.901414881148,0
